company_name,uen,industry,country,city,website,short_description,source
MILLENNIUM AUTOMATION & SYSTEMS PTE. LTD.,201201936C,,Singapore,Singapore,,,acra
PARTY ART ENTERTAINMENT,53250767C,,Singapore,Singapore,,,acra
DE COMFORT TRADING & DEVELOPMENT PTE LTD,199203392Z,,Singapore,Singapore,,,acra
EXCEL CAPITAL PTE. LTD.,201305833D,,Singapore,Singapore,,,acra
DYNASOURCE ENTERPRISE PTE LTD,199600940G,,Singapore,Singapore,,,acra
MAXIM-LINK MARKETING,52984571K,,Singapore,Singapore,,,acra
ULVOAS MARKETING SERVICES,53058636C,,Singapore,Singapore,,,acra
SHINMALI TRADERS,42663000M,,Singapore,Singapore,,,acra
JONG LEE WAH COMPANY (PRIVATE) LIMITED,195500052E,,Singapore,Singapore,,,acra
REFINEX AUTO,53501213J,,Singapore,Singapore,,,acra
GAN SENG HUAT CO,24989500E,,Singapore,Singapore,,,acra
JAC TRUST HOLDINGS PTE. LTD.,202116686D,,Singapore,Singapore,,,acra
CATTEA PTE. LTD.,202414581M,,Singapore,Singapore,,,acra
DK AUTOSPARES TRADING,52850771X,,Singapore,Singapore,,,acra
FLOW-CONNECTIONS,53414887E,,Singapore,Singapore,,,acra
REDHILL REALTY PRIVATE LIMITED,197200982N,,Singapore,Singapore,,,acra
SRI CEMPELANG RESTAURANT,49386700K,,Singapore,Singapore,,,acra
ECCENTRICS HAIR SALON,39877100J,,Singapore,Singapore,,,acra
AUDIO DREAMS CAR ACCESSORIES,51268200C,,Singapore,Singapore,,,acra
STALLION COMMODITIES PTE. LTD.,202305673K,,Singapore,Singapore,,,acra
A.O. AIRE PTE. LTD.,202217801R,,Singapore,Singapore,,,acra
LANDING GEAR SUPPORT SERVICES PTE. LTD.,202210614W,,Singapore,Singapore,,,acra
EVERISING BOOKSHOP,34340100B,,Singapore,Singapore,,,acra
XIN WEI MING GARMENT TRADING,36248600W,,Singapore,Singapore,,,acra
ACE:DAYTONS COMMUNICATIONS PTE. LTD.,198700916M,,Singapore,Singapore,,,acra
SCIENCEWISE,53248120L,,Singapore,Singapore,,,acra
AQUILA ASIA INVESTMENT MANAGEMENT PRIVATE LIMITED,202015846C,,Singapore,Singapore,,,acra
SNB APPS (PTE. LTD.),201005396H,,Singapore,Singapore,,,acra
ABESCO TRADING,52909264J,,Singapore,Singapore,,,acra
AURAL ODYSSEY STUDIOS,53457148D,,Singapore,Singapore,,,acra
SEARAY LOGISTICS & TRADING PTE. LTD.,200416276M,,Singapore,Singapore,,,acra
FD WORKSHOP,53490129L,,Singapore,Singapore,,,acra
PULSE PATISSERIE PTE. LTD.,201528476C,,Singapore,Singapore,,,acra
HOKKIYA INTERNATIONAL PTE. LTD.,200404625E,,Singapore,Singapore,,,acra
KINNOVATE,53363404X,,Singapore,Singapore,,,acra
WONDERART CREATIVE IDEAS,50383000C,,Singapore,Singapore,,,acra
SAM VENTURES PTE. LTD.,201604726D,,Singapore,Singapore,,,acra
SIN SPACE PTE. LTD.,202306701K,,Singapore,Singapore,,,acra
THANDAPANI COMPANY PTE. LTD.,201200442C,,Singapore,Singapore,,,acra
JOE YOU,53465765J,,Singapore,Singapore,,,acra
THE BEAUTY BROKERAGE,53418424C,,Singapore,Singapore,,,acra
DIYANA'S COLLECTIONS,50727300A,,Singapore,Singapore,,,acra
PINNACLE IMPEX PTE. LTD.,201229803D,,Singapore,Singapore,,,acra
HEMATO PTE. LTD.,201022903R,,Singapore,Singapore,,,acra
LEE TECK PAPER PRODUCTS SUPPLIER,50591900A,,Singapore,Singapore,,,acra
TOUCHMOVER PROFESSIONAL PTE. LTD.,200912956C,,Singapore,Singapore,,,acra
FAME FORWARDING SERVICES,52353700W,,Singapore,Singapore,,,acra
FINTECH SOLUTIONS PTE. LTD.,200310732H,,Singapore,Singapore,,,acra
JUVENAS SLIMFIT AND BEAUTY SPECIALISTS,52870216E,,Singapore,Singapore,,,acra
DNET BOX MEGATRADE,52883228W,,Singapore,Singapore,,,acra
AMAZON SURVIVAL PTE. LTD.,202143984K,,Singapore,Singapore,,,acra
LIZA YEO BRIDAL COLLECTION,53189906C,,Singapore,Singapore,,,acra
YKEY PTE. LTD.,201527369K,,Singapore,Singapore,,,acra
SPARK M&E PTE. LTD.,201612340K,,Singapore,Singapore,,,acra
WELLNESS BY ATIKAJAY LLP,T22LL0035G,,Singapore,Singapore,,,acra
LEE HANDLING SYSTEM CO,29044200A,,Singapore,Singapore,,,acra
CES-PRECAST PTE. LTD.,200616039M,,Singapore,Singapore,,,acra
WINNADO INVESTMENT PTE. LTD.,201305629G,,Singapore,Singapore,,,acra
FOOK CHOON MOTOR TRADING,53040418D,,Singapore,Singapore,,,acra
T K MAKMUR TRADING,53012958B,,Singapore,Singapore,,,acra
U-FRUIT TRADING,52945552L,,Singapore,Singapore,,,acra
MOON BRIGHT PTE. LTD.,202029968G,,Singapore,Singapore,,,acra
BRILLIANT MANAGEMENT SERVICES,40640200X,,Singapore,Singapore,,,acra
KTGVK,53518442E,,Singapore,Singapore,,,acra
CARZ N2CS AUTOMOBILE/LEASING,52939164C,,Singapore,Singapore,,,acra
GOLDEN ORIENTUS RESORT PTE. LTD.,200712406W,,Singapore,Singapore,,,acra
AMARISE PTE. LTD.,202605945H,,Singapore,Singapore,,,acra
DIGIPRINT SERVICES,53064710M,,Singapore,Singapore,,,acra
CENTRAL CANNON CAPITAL,53407150C,,Singapore,Singapore,,,acra
ORANGE FUTURE PTE. LTD.,201826899R,,Singapore,Singapore,,,acra
AIDVISER,53370540A,,Singapore,Singapore,,,acra
MEGAWISE COMPUTER SYSTEMS PTE LTD,199406699R,,Singapore,Singapore,,,acra
S'ZIRAH TRADING & MARKETING,46921800B,,Singapore,Singapore,,,acra
PHOTON PTE. LTD.,202109446N,,Singapore,Singapore,,,acra
SUPERBREEZE AIRCON,53424360J,,Singapore,Singapore,,,acra
INTERNATIONAL SOLUTIONS PTE. LTD.,202126325K,,Singapore,Singapore,,,acra
